technique,name,matrix,tactic,likelihood_share
T1567.002,Exfiltration Over Web Service: Exfiltration to Cloud Storage,enterprise,Exfiltration,0.3546
T1210,Exploitation of Remote Services,enterprise,Lateral Movement,0.2537
T1078,Valid Accounts,enterprise,Initial Access,0.2300
T1190,Exploit Public-Facing Application,enterprise,Initial Access,0.2165
T1133,External Remote Services,enterprise,Initial Access,0.2056
T1486,Data Encrypted for Impact,enterprise,Impact,0.1712
T1566,Phishing,enterprise,Initial Access,0.1516
T1078.004,Valid Accounts: Cloud Accounts,enterprise,Initial Access,0.1296
T1213,Data from Information Repositories,enterprise,Collection,0.1291
T1021.001,Remote Services: Remote Desktop Protocol,enterprise,Lateral Movement,0.1237
T1039,Data from Network Shared Drive,enterprise,Collection,0.1085
T1489,Service Stop,enterprise,Impact,0.0974
T1552.001,Unsecured Credentials: Credentials In Files,enterprise,Credential Access,0.0896
T0828,Loss of Productivity and Revenue,ics,Impact,0.0775
T0831,Manipulation of Control,ics,Impair Process Control,0.0775
