asset,name,zone,purdue,likelihood_share,paths
imp_prod_stop,Production stoppage,Z-CONS,0,0.4362,455
imp_ip,Theft of engineering and design data,Z-CONS,0,0.3138,52
ops_ews,Engineering workstation,Z-OPS,3,0.2677,505
imp_pii,Customer personal data breach,Z-CONS,0,0.2318,21
it_user_ws,Employee workstation,Z-IT,4,0.2272,379
it_vpn,Remote access VPN gateway,Z-IT,4,0.1574,196
sup_tier1,Tier-1 supplier IT estate,Z-SUP,5,0.1516,7
it_erp,ERP and production planning core,Z-IT,4,0.1431,21
it_edge_app,Internet-facing enterprise application,Z-IT,4,0.1120,63
id_ad,On-premises Active Directory (tier 0),Z-IDP,4,0.1105,359
it_fileshare,Engineering and business file shares,Z-IT,4,0.1085,7
saas_crm,Third-party CRM / customer platform,Z-SAAS,4,0.1045,1
saas_dms,Dealer management platform,Z-SAAS,4,0.1045,2
sca_server,SCADA / line control server,Z-SCADA,2,0.0896,357
id_legacy_cred,Dormant third-party / legacy credentials,Z-IDP,4,0.0803,149
