profile,scenario,name,p_impact,p_production_stop,p_ip_theft,p_safety,mean_downtime_h,mean_loss_musd,mean_loss_given_impact_musd,ale_musd,control_cost_index
ransomware,S0,S0 baseline,0.0981,0.0770,0.0050,0.0000,24.8,31.71,323.26,47.57,0
ransomware,S1,S1 identity-first,0.0977,0.0757,0.0042,0.0000,24.4,31.33,320.84,47.00,23
ransomware,S2,S2 IEC 62443 zones and conduits,0.0973,0.0758,0.0054,0.0000,24.4,31.34,322.12,47.01,25
ransomware,S3,S3 supply chain and cloud,0.1037,0.1027,0.0008,0.0000,33.2,40.06,386.14,60.09,19
ransomware,S4,S4 detect and recover,0.1014,0.0549,0.0097,0.0000,4.5,11.24,110.85,16.86,24
ransomware,S5,S5 full programme,0.0238,0.0047,0.0083,0.0000,0.4,2.24,94.49,3.37,91
espionage,S0,S0 baseline,0.0986,0.0125,0.0862,0.0000,4.1,14.65,148.54,21.97,0
espionage,S1,S1 identity-first,0.0985,0.0134,0.0864,0.0000,4.4,15.00,152.24,22.49,23
espionage,S2,S2 IEC 62443 zones and conduits,0.0980,0.0128,0.0849,0.0000,4.2,14.69,149.91,22.04,25
espionage,S3,S3 supply chain and cloud,0.0292,0.0032,0.0269,0.0000,1.0,3.94,135.08,5.92,19
espionage,S4,S4 detect and recover,0.0997,0.0110,0.0875,0.0000,0.9,11.30,113.30,16.94,24
espionage,S5,S5 full programme,0.0266,0.0019,0.0244,0.0000,0.1,2.75,103.71,4.13,91
sabotage,S0,S0 baseline,0.0858,0.0852,0.0006,0.0000,27.8,33.61,391.47,50.41,0
sabotage,S1,S1 identity-first,0.0856,0.0850,0.0004,0.0000,27.9,33.58,392.34,50.38,23
sabotage,S2,S2 IEC 62443 zones and conduits,0.0864,0.0857,0.0006,0.0000,28.0,33.81,391.29,50.71,25
sabotage,S3,S3 supply chain and cloud,0.1030,0.1028,0.0001,0.0000,33.4,40.28,391.05,60.42,19
sabotage,S4,S4 detect and recover,0.0759,0.0713,0.0036,0.0000,5.7,9.96,131.16,14.93,24
sabotage,S5,S5 full programme,0.0126,0.0100,0.0024,0.0000,0.8,1.64,129.39,2.46,91
