control,name,cost_index,ale_musd,ale_reduction_musd,ale_reduction_pct,reduction_per_cost,best_path_likelihood_drop_pct,necessity_ale_increase_if_removed_musd,iec62443_3_3,nist_csf_2_0
C01,Phishing-resistant MFA for remote and privileged access,6,47.08,0.49,1.0,0.08,0.0,-0.00,SR 1.1; SR 1.2; SR 1.5; SR 1.7,PR.AA-02; PR.AA-03
C02,Conditional access and device-compliance enforcement,4,46.76,0.81,1.7,0.20,0.0,0.00,SR 1.13; SR 2.6,PR.AA-05
C03,Administrative tiering and privileged access workstations,7,47.40,0.16,0.3,0.02,0.0,0.00,SR 1.1; SR 2.1; SR 1.11,PR.AA-05; PR.PS-01
C04,"Brokered, just-in-time vendor remote access",5,47.57,0.00,0.0,0.00,0.0,0.00,SR 1.13; SR 2.6; SR 6.1,PR.AA-05; GV.SC-07
C05,Enforced IT/OT segmentation with an industrial DMZ,8,47.01,0.55,1.2,0.07,0.0,-0.01,SR 5.1; SR 5.2; SR 5.3,PR.IR-01
C06,Application allowlisting and removable-media control on OT hosts,5,47.57,0.00,0.0,0.00,0.0,0.00,SR 2.3; SR 3.2,PR.PS-05
C07,Endpoint detection and 24/7 monitored response,7,42.69,4.88,10.3,0.70,0.0,1.57,SR 6.2; SR 3.2,DE.CM-01; DE.CM-09; RS.MA-01
C08,"Immutable, offline and exercised backups (IT and OT)",5,29.23,18.34,38.6,3.67,0.0,0.62,SR 7.3; SR 7.4,PR.DS-11; RC.RP-01
C09,Controller change control and program integrity monitoring,6,47.57,0.00,0.0,0.00,0.0,0.00,SR 3.4; SR 3.8; SR 7.6,PR.PS-01; DE.CM-09
C10,Attack-surface management and expedited patching of exposed services,5,42.04,5.53,11.6,1.11,0.0,-0.43,SR 7.2; SR 3.10,ID.RA-01; PR.PS-02
C11,SaaS and OAuth token governance,4,51.10,-3.53,-7.4,-0.88,0.0,12.86,SR 1.9; SR 2.1,PR.AA-05; GV.SC-06
C12,Identity lifecycle hygiene and dormant credential revocation,3,47.54,0.03,0.1,0.01,0.0,0.00,SR 1.3; SR 1.5,PR.AA-01; GV.SC-07
C13,Continuous OT network monitoring and asset inventory,6,47.58,-0.02,-0.0,-0.00,0.0,0.00,SR 6.2; SR 7.8,ID.AM-01; DE.CM-01
C14,Supplier security assurance and contractual telemetry,6,49.66,-2.09,-4.4,-0.35,12.8,11.83,SR 1.13; SR 6.1,GV.SC-01; GV.SC-04; GV.SC-08
C15,Service-desk identity proofing and insider-risk programme,3,47.57,0.00,0.0,0.00,0.0,0.00,SR 1.1; SR 2.10,PR.AA-01; GV.RR-02
C16,Cloud security and data-exposure posture management,4,47.78,-0.21,-0.4,-0.05,0.0,1.34,SR 4.1; SR 4.3,PR.DS-01; PR.DS-10; ID.RA-01
C17,"Operational resilience: buffers, manual fallback and degraded mode",7,27.35,20.22,42.5,2.89,10.0,1.08,SR 7.1; SR 7.4,RC.RP-01; RC.RP-05; GV.SC-08
