parameter,value,ale_musd,p_impact
detection_multiplier,0.5,176.80,0.3181
detection_multiplier,0.75,95.75,0.1795
detection_multiplier,1.0,47.57,0.0981
detection_multiplier,1.25,25.94,0.0590
detection_multiplier,1.5,14.23,0.0340
campaign_frequency,0.5,15.86,0.0981
campaign_frequency,1.0,31.71,0.0981
campaign_frequency,1.5,47.57,0.0981
campaign_frequency,2.5,79.28,0.0981
campaign_frequency,4.0,126.85,0.0981
attacker_budget_h,168.0,48.46,0.0985
attacker_budget_h,360.0,47.57,0.0981
attacker_budget_h,720.0,47.57,0.0981
attacker_budget_h,1440.0,47.57,0.0981
